,Comment
353,"vdo at ::::::___---------<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3520"">58:40</a> i dont have that option of (feature1 has recent pushes 1 min age) that PULL REQUEST <br>wala option"
354,"Hats off to the patience level , even explaining cd command , mai to itna batana pde to gussa krne lgu 😅😅😅"
355,She normally speaks so fast and when 2x speed mode is initilized it seems so funny. But this is an informative video for the beginners who want to know about Git and GitHub.
356,"Got confused regarding the folder opened at <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1398"">23:18</a>. Can someone please clear how that folder was made or added."
357,Thank you madam for explaining about git n git hub can u please do video tutorials on Devops course
358,👏❤
359,ls -a work nhi kr rha h
360,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2549"">42:29</a>"
361,Nice tutorial
362,Thank you Apna College <br>really simple and easy to understand from basics
363,"Any course link for AI, Chat Gpt for no technical"
364,Cheat sheet kaha pr he????
365,Nice Explanation 👍
366,Thank you ma&#39;am.
367,ls -a is not working
368,Microsoft acquired GitHub in 2018 for $7.5 billion in stock.
369,Pls do videos in English
370,Your efforts are bigger than your age. PROUD OF YOU.
